### AMB = Environment; GEN = Genotype; BLO = Blocks/Repetitions; PROD = Yield
AMB	GEN	BLO	PROD
8	6	1	31.12	
8	6	2	41.59	
8	6	3	36.85	
8	7	1	35.63	
8	7	2	40.36	
8	7	3	31.29	
8	8	1	38.29	
8	8	2	38.36	
8	8	3	46.44	
8	9	1	40.57	
8	9	2	30.47	
8	9	3	41.18	
8	10	1	32.18	
8	10	2	47.82	
8	10	3	36.51	
8	11	1	41.79	
8	11	2	28.8	
8	11	3	40.75	
8	12	1	33.09	
8	12	2	35.11	
8	12	3	29.44	
8	13	1	43.35	
8	13	2	30.27	
8	13	3	28.52	
8	14	1	26.88	
8	14	2	43.97	
8	14	3	35.51	
8	15	1	37.71	
8	15	2	30.5	
8	15	3	34.56	
9	1	1	28.99	
9	1	2	41.13	
9	1	3	37.46	
9	2	1	28.81	
9	2	2	29.62	
9	2	3	36.23	
9	3	1	47.4	
9	3	2	42.25	
9	3	3	30.88	
9	4	1	42.06	
9	4	2	42.78	
9	4	3	41.37	
9	5	1	40.4	
9	5	2	46.27	
9	5	3	42.78	
9	6	1	40.09	
9	6	2	41.6	
9	6	3	48.95	
9	7	1	45.35	
9	7	2	42.02	
9	7	3	43.04	
9	8	1	40.99	
9	8	2	42.71	
9	8	3	40.79	
9	9	1	39.35	
9	9	2	47.11	
9	9	3	46.27	
9	10	1	35.6	
9	10	2	38.49	
9	10	3	46.29	
9	11	1	28.21	
9	11	2	30.22	
9	11	3	30.46	
9	12	1	33.24	
9	12	2	35.84	
9	12	3	33.33	
9	13	1	29.29	
9	13	2	30.61	
9	13	3	34.43	
9	14	1	36.22	
9	14	2	33.46	
9	14	3	32.09	
9	15	1	42.24	
9	15	2	31.97	
9	15	3	32.14	
10	1	1	31.72	
10	1	2	40.83	
10	1	3	35.37	
10	2	1	43.08	
10	2	2	31.53	
10	2	3	39.38	
10	3	1	38.24	
10	3	2	45.4	
10	3	3	35.53	
10	4	1	45.2	
10	4	2	30.59	
10	4	3	34.13	
10	5	1	26.14	
10	5	2	37.82	
10	5	3	33.95	
10	6	1	36.4	
10	6	2	39.64	
10	6	3	26.87	
10	7	1	24.19	
10	7	2	43.37	
10	7	3	38.3	
10	8	1	34.14	
10	8	2	31.02	
10	8	3	40.26	
10	9	1	33.14	
10	9	2	38.29	
10	9	3	32.3	
10	10	1	40.76	
10	10	2	21.24	
10	10	3	38.28	
10	11	1	28.67	
10	11	2	45.52	
10	11	3	33.86	
10	12	1	43.67	
10	12	2	30.92	
10	12	3	42.76	
10	13	1	39.1	
10	13	2	32.52	
10	13	3	43.23	
10	14	1	28.17	
10	14	2	42.68	
10	14	3	31.25	
10	15	1	36.89	
10	15	2	37.16	
10	15	3	46.52	
11	1	1	33.92	
11	1	2	47.3	
11	1	3	35.37	
11	2	1	37.02	
11	2	2	33.97	
11	2	3	38.15	
11	3	1	41.88	
11	3	2	37.67	
11	3	3	43.53	
11	4	1	35.7	
11	4	2	41.44	
11	4	3	25.73	
11	5	1	26.93	
11	5	2	33.01	
11	5	3	42.29	
11	6	1	46.28	
11	6	2	28.51	
11	6	3	36.53	
11	7	1	26.88	
11	7	2	46.69	
11	7	3	32.37	
11	8	1	29.41	
11	8	2	38.79	
11	8	3	33.12	
11	9	1	43.36	
11	9	2	29.95	
11	9	3	44.48	
11	10	1	41.41	
11	10	2	25.76	
11	10	3	32.69	
11	11	1	35.65	
11	11	2	38.34	
11	11	3	41.45	
11	12	1	48.62	
11	12	2	28.43	
11	12	3	44.39	
11	13	1	44.79	
11	13	2	43.39	
11	13	3	34.69	
11	14	1	37.12	
11	14	2	36.45	
11	14	3	32.04	
11	15	1	30.01	
11	15	2	49.45	
11	15	3	39.84	
12	1	1	42.45	
12	1	2	34.34	
12	1	3	34.84	
12	2	1	45.5	
12	2	2	43.13	
12	2	3	40.48	
12	3	1	30.74	
12	3	2	46.94	
12	3	3	46.56	
12	4	1	31.12	
12	4	2	32.01	
12	4	3	33.2	
12	5	1	27.37	
12	5	2	30.37	
12	5	3	37.24	
12	6	1	33.96	
12	6	2	33.1	
12	6	3	28.78	
12	7	1	29.27	
12	7	2	37.56	
12	7	3	31.1	
12	8	1	36.71	
12	8	2	42.44	
12	8	3	29.32	
12	9	1	34.93	
12	9	2	25.49	
12	9	3	31.98	
12	10	1	40.61	
12	10	2	29.85	
12	10	3	30.99	
12	11	1	49.43	
12	11	2	47.16	
12	11	3	39.76	
12	12	1	43.09	
12	12	2	37.8	
12	12	3	44.17	
12	13	1	45.74	
12	13	2	37.02	
12	13	3	43.22	
12	14	1	37.64	
12	14	2	41.78	
12	14	3	50.1	
12	15	1	35.75	
12	15	2	45.77	
12	15	3	42.57	
